,n,density,m,min deg,max deg,avg deg,nst1,nst2,hit rate,K,time
139,140,0.07142857142857142,671,3,19,9.585714285714285,405961691364211579252348852327579514930876681823231716721720674996388579347861504411406419321874805266032189492222442577514725376,340296526518530425239046710132119640671474433358121780955030886416606814154166222803648811526548815715265989318597644800718012416,0.9971428571428571,2442,3.000972270965576
140,30,0.3333333333333333,149,4,16,9.933333333333334,667211672818880868236918784,540505610883667493843369984,0.9866666666666667,1269,0.42874956130981445
141,40,0.25,184,4,14,9.2,123366426564051278155434551224041472,95441003995134561835427823699886080,1.0,296,0.1760883331298828
142,50,0.2,246,5,15,9.84,5262809193233584111594429832202259243055710208,4407433909600390292387914029782473912480694272,0.984,1366,0.5384218692779541
143,60,0.16666666666666666,290,4,17,9.666666666666666,1415208115696395006311072419807610359585853766499303424,1203958321158998095053322621926152290741919722571300864,0.9800000000000001,2807,1.2406387329101562
144,70,0.14285714285714285,344,5,18,9.82857142857143,20126618852803480570027984352023418291074486999646263223884185600,16440337407534816016387725888465764576768410244532114905339265024,0.9857142857142858,75741,39.86688017845154
145,80,0.125,407,5,20,10.175,1570577325199006836855041421676822555385207107845332202938906351442256199680,1167332682681943244220355041596305147406102989289804478873146265831498317824,0.9949999999999999,1706,1.1608986854553223
146,90,0.1111111111111111,445,3,17,9.88888888888889,371185786602081513374518952943920826504194390767717264277005254209086472132549935104,305199207919486151387880891735695421919626398786823126886666322675412136378710884352,0.9933333333333334,720,0.595970630645752
147,100,0.1,500,5,16,10.0,3734741627060629981661751455292795571209786619318207861525402133313857760057994116720635150336,2947169101143800882924319253553852977025521378768021823409669495082992527587814676835359260672,0.9879999999999999,147,0.19419169425964355
148,110,0.09090909090909091,548,3,18,9.963636363636363,3751277959546591950708317286384231154418228688446219581365295127075591204577911864537228795719656144896,3070292676085256385937223778265330650453842888698956777101969856466428755417488638707918744032020267008,0.989090909090909,650,0.6863219738006592
149,120,0.08333333333333333,633,4,21,10.55,8162826274937107646895815380026728209282551055644239456848923635215577951265597401991706154589329196685769247293440,6962073345081524718527828389299594877977066412418814673553680900270870639968104587772814427109736833561079788339200,0.9883333333333333,28014,24.940572023391724
150,130,0.07692307692307693,643,3,18,9.892307692307693,7374893488954348444428389506710422827896552935556567969133602104124904659422943381710792358587836957653570615737984221184,6116288646258809005768547322501346151177450948503603978906510576118908499140429231010972399621847193980993652770631319552,0.9938461538461538,100000,95.3970718383789
151,140,0.07142857142857142,719,2,19,10.271428571428572,3191990339012156774179306139793511421227438731360195334273667486530782780373635252979171579604389315316339574333261135489762204844032,2693667724078827372723675482482252267232382704308579285612409751710706652937930209730913311451535697610746785611923263531513370640384,0.9928571428571429,3318,3.745000123977661
152,30,0.3333333333333333,152,1,15,10.133333333333333,433942898041351362377154560,353442182545698519842291712,0.9533333333333334,4183,1.0468904972076416
153,40,0.25,198,4,17,9.9,1768269794107418754036034674131730432,1442480387181410309934924215470784512,0.99,2616,0.8164334297180176
154,50,0.2,253,2,16,10.12,11257935199643643661512810613673889353802186752,9045241603002382052302573893531539016085667840,0.9800000000000001,25718,9.73267936706543
155,60,0.16666666666666666,300,5,16,10.0,68942774973544145213930640145762790470037780289156022272,52620849041920580540536029159787325948385372164939841536,0.9866666666666667,2171,0.9655606746673584
156,70,0.14285714285714285,343,3,16,9.8,5704798413658339436433692645359642831766338536405757252450910208,4735727791660161330213835231484221467911949274477649189188665344,0.9828571428571429,2231,1.6105639934539795
157,80,0.125,416,4,18,10.4,5161394058304956545808595616980598215076557503732536141581619353058524790784,4028044672126749422182435570766242685023596001438435136727215133269484896256,0.9875,4932,3.001345634460449
158,90,0.1111111111111111,448,3,17,9.955555555555556,1159223710819105600354848456863032569160052492347414599386665430512473145419195482112,921870743964547976315186663128565031008071229217273482960001651790683175305833611264,0.9911111111111112,2857,2.2049574851989746
159,100,0.1,518,4,18,10.36,269692270547175357966201409717491417015857702423085860955651637042399476823585265186890177314816,205340623254120167153241094749041805233170480702974873018802813210052380189233701220424068628480,0.9879999999999999,1471,1.362025260925293
160,110,0.09090909090909091,534,2,19,9.709090909090909,94266309513333260377346507619644162667031726541117408604137935915074794302432915128340094312658239488,76085167903878808101573057309585502919975810732096046886930239146150905114296584916968522750848139264,0.9872727272727273,1291,1.6742219924926758
161,120,0.08333333333333333,622,4,18,10.366666666666667,5464993415588938094248196574695083494496705561626349289501342172447394975889307374879513946904056509609559013195776,4587074233547440509169114079643725922149453161019769629735397626356757072997358124423014206580576270362380167282688,0.9916666666666668,747,0.7693095207214355
